"site_id"
"SJER"
"STER"
"CLBJ"
"OAES"
"BLAN"
"DELA"
"DSNY"
"JERC"
"JORN"
"ORNL"
"OSBS"
"SRER"
"UKFS"
"KONZ"
"MOAB"
"SERC"
"TALL"
"WOOD"
"CPER"
"KONA"
"LENO"
"SCBI"
"GRSM"
"MLBS"
"ONAQ"
"PUUM"
"SOAP"
"ABBY"
"GUAN"
"LAJA"
"NOGP"
"BART"
"HARV"
"STEI"
"WREF"
"DCFS"
"TREE"
"UNDE"
"DEJU"
"HEAL"
"BONA"
"NIWO"
"RMNP"
"TOOL"
"YELL"
"BARR"
"TEAK"
